Squad,W,D,L,Pts/MP,GD,xGD,Season,League
Lecce,6,7,17,0.83,-28,-20.5,2024-2025,Serie A
Empoli,4,11,15,0.77,-23,-14.8,2024-2025,Serie A
Venezia,3,11,16,0.67,-20,-19.3,2024-2025,Serie A
Monza,2,9,20,0.48,-30,-19.7,2024-2025,Serie A
Barcelona,28,4,6,2.32,50,42.3,2022-2023,La Liga
Real Madrid,24,6,8,2.05,39,36.6,2022-2023,La Liga
Atlético Madrid,23,8,7,2.03,37,20.8,2022-2023,La Liga
Real Sociedad,21,8,9,1.87,16,19.8,2022-2023,La Liga
Villarreal,19,7,12,1.68,19,11.8,2022-2023,La Liga
Betis,17,9,12,1.58,5,1.3,2022-2023,La Liga
Osasuna,15,8,15,1.39,-5,-5.9,2022-2023,La Liga
Athletic Club,14,9,15,1.34,4,17.3,2022-2023,La Liga
Mallorca,14,8,16,1.32,-6,-11.2,2022-2023,La Liga
Girona,13,10,15,1.29,3,-4.3,2022-2023,La Liga
Rayo Vallecano,13,10,15,1.29,-8,-6.4,2022-2023,La Liga
Sevilla,13,10,15,1.29,-7,-7.9,2022-2023,La Liga
Celta Vigo,11,10,17,1.13,-10,-2.8,2022-2023,La Liga
Cádiz,10,12,16,1.11,-23,-20.1,2022-2023,La Liga
Getafe,10,12,16,1.11,-11,-9.4,2022-2023,La Liga
Valencia,11,9,18,1.11,-3,5.8,2022-2023,La Liga
Almería,11,8,19,1.08,-16,-17.0,2022-2023,La Liga
Valladolid,11,7,20,1.05,-30,-26.6,2022-2023,La Liga
Espanyol,8,13,17,0.97,-17,-11.5,2022-2023,La Liga
Elche,5,10,23,0.66,-37,-32.6,2022-2023,La Liga
Real Madrid,29,8,1,2.5,61,33.4,2023-2024,La Liga
Barcelona,26,7,5,2.24,35,35.9,2023-2024,La Liga
Girona,25,6,7,2.13,39,16.5,2023-2024,La Liga
Atlético Madrid,24,4,10,2.0,27,23.0,2023-2024,La Liga
Athletic Club,19,11,8,1.79,24,11.4,2023-2024,La Liga
